Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2025-05-06,3405.217529296875,3418.011699204638,3382.5816902292945,3405.217529296875,1324763
2025-05-07,3390.553466796875,3404.7253739778457,3366.4413778642383,3366.4413778642383,1477128
2025-05-08,3394.293212890625,3421.9483996043236,3374.4130890526376,3393.4075587678194,2543591
2025-05-09,3385.82958984375,3391.636078710749,3344.297792808673,3345.1834469493565,2531757
2025-05-12,3563.077880859375,3573.018063028258,3446.7493970179844,3449.505112495261,2228678
2025-05-13,3459.346923828125,3565.6369573340817,3454.918172432044,3563.0780270840673,3062887
2025-05-14,3492.51318359375,3504.618485051228,3453.0482333329505,3465.251807319678,2119499
2025-05-15,3523.218994140625,3543.000844968414,3458.461004249911,3507.57083651873,3548330
2025-05-16,3504.91357421875,3536.997270491984,3489.9542856276926,3536.997270491984,1666727
2025-05-19,3463.086669921875,3493.7926303362833,3448.225653046167,3493.7926303362833,2537377
2025-05-20,3442.9111328125,3501.6658490029718,3438.679167064751,3475.8807241395375,2038374
2025-05-21,3469.975830078125,3480.998451703358,3442.911239345345,3452.457610566972,1440153
2025-05-22,3421.9482421875,3442.4189613490807,3396.6552014233635,3439.6632460297133,2034383
2025-05-23,3458.953125,3479.0300338946035,3410.728946312352,3421.9483529990202,1274331
2025-05-26,3481.293701171875,3488.871738416089,3454.524408949068,3465.2517322885897,967470
2025-05-27,3443.304931640625,3483.951075577389,3427.952071065876,3476.0777398133723,2467680
2025-05-28,3442.32080078125,3473.1252753361427,3437.6952640263944,3464.2677725087055,1222933
2025-05-29,3442.71435546875,3476.5696009789913,3431.297923230928,3449.2097128936152,3188072
2025-05-30,3408.563720703125,3451.1781977204464,3398.4269933317396,3434.7426576999464,3404365
2025-06-02,3395.17919921875,3405.217654074579,3364.4732383699834,3395.375984554132,1877585
2025-06-03,3351.28515625,3418.503805107925,3346.6596197695403,3391.439214740725,2848125
2025-06-04,3356.94482421875,3370.746482399833,3346.1221522041255,3364.9875293233777,2544807
2025-06-05,3347.214111328125,3384.8454732776427,3339.8663987058812,3384.8454732776427,3584683
2025-06-06,3360.221435546875,3366.873914676264,3334.9021140402438,3347.2144001409188,2070390
2025-06-09,3397.654296875,3409.668660230926,3366.873944962607,3375.9095645850753,1718678
2025-06-10,3438.36376953125,3461.1016586442274,3398.94510956099,3415.626122829056,2419874
2025-06-11,3447.300048828125,3464.278985186734,3424.6617902310286,3445.4136080819626,2847013
2025-06-12,3409.866943359375,3450.079980797376,3398.944883808313,3447.299771702225,4060134
2025-06-13,3421.28564453125,3426.0516828925206,3369.157630228437,3369.157630228437,2178493
2025-06-16,3471.527099609375,3484.1370655851665,3401.9236944953027,3415.625963412075,1934088
2025-06-17,3490.392578125,3495.0592280439255,3463.3853507540894,3485.13008250971,2111940
2025-06-18,3426.945068359375,3512.9315625297536,3418.704071793645,3494.16557511537,2696327
2025-06-19,3399.739501953125,3426.548195455676,3388.817441637271,3425.5552808815073,2672768
2025-06-20,3411.3564453125,3421.8814364277036,3386.732116175425,3400.7323081895083,2351248
2025-06-23,3369.554931640625,3400.732351710977,3346.122051172553,3390.8032061585363,3123421
